fsqID,venueName,formattedAddress,catID,catName,catIDGroup,distance,rating,totalRatings,totalPhotos,totalTips,popularity,price,storeVerified,stationIndex
086ef0913cf446afcdfe97cf,Redding Recreation,"1250 Parkview Ave, Redding, CA 96001",16032,Park,Landmarks and Outdoors,478,,,,,,,False,4
e21811da3c6c468dcaecf05f,LIT From Within - Studio B,"2449 Athens Ave, Redding, CA 96001",16001,Bathing Area,Landmarks and Outdoors,494,,,,,,,False,4
898ebebb75f0f1a08fc64815,Canelo's,"2605 S Market St, Redding, CA 96001",13065,Restaurant,Dining and Drinking,505,,,,,,,False,4
791304813dc34dee56cafc78,Fast Weenies,"175 Locust St, Redding, CA 96001",13058,Hot Dog Joint,Dining and Drinking,630,,,,,,,False,4
2757e5bd68d84a95a323b706,Evergreen - Coffee Shop & Boutique Hotel,"2085 Pine St, Redding, CA 96001",13035,Coffee Shop,Dining and Drinking,787,,,,,,,False,4
581ccd7f0d63b178d22e9e54,Theory Collaborative,"1250 California St, Redding, CA 96001",13034,Café,Dining and Drinking,322,8.9,35.0,34.0,4.0,0.9785238959467635,1.0,True,5
4c4bf3589c8d2d7f72f4b76b,Club 501,"1244 California St, Redding, CA 96001",13011,Gay Bar,Dining and Drinking,287,8.3,12.0,6.0,4.0,0.9050211736237145,2.0,False,5
4b5138a2f964a520cc4727e3,Market Street Steakhouse,"1777 Market St, Redding, CA 96001",13383,Steakhouse,Dining and Drinking,866,8.7,14.0,12.0,6.0,0.9664246823956443,3.0,False,5
4b636603f964a520ff762ae3,Taqueria Los Gordos,"1400 Pine St (Tehama), Redding, CA 96001",13099,Chinese Restaurant,Dining and Drinking,603,8.1,28.0,15.0,13.0,0.9652147610405324,2.0,False,5
5a110c7f0fe7a07167d2f62f,Taste & See Creamery,"1419 Market St, Redding, CA 96001",13046,Ice Cream Parlor,Dining and Drinking,577,8.0,9.0,11.0,1.0,0.9745916515426497,1.0,False,5
4bfd76e4bf6576b08551adb8,Wienerschnitzel,"1120 Market St, Redding, CA 96001",13058,Hot Dog Joint,Dining and Drinking,404,7.6,12.0,44.0,1.0,0.9872202056866304,1.0,False,5
4c4c76ec712ac9281194606e,Caldwell Park,"56 Quartz Hill Rd, Redding, CA 96003",16032,Park,Landmarks and Outdoors,945,7.8,10.0,39.0,1.0,0.9912280701754386,,False,5
4bf3009298ac0f47ad6262a8,Damburger,"1320 Placer St, Redding, CA 96001",13031,Burger Joint,Dining and Drinking,789,7.2,27.0,8.0,10.0,0.962265577737447,1.0,True,5
4c8ba29052a98cfa7caf37e9,Heavenly Donuts,"1313 Shasta St, Redding, CA 96001",13001,Bagel Shop,Dining and Drinking,548,6.9,10.0,19.0,2.0,0.9730792498487598,1.0,False,5
4c2a899d8ef52d7fa10e30ba,Carl's Jr.,"1800 Eureka Way, Redding, CA 96001",13145,Fast Food Restaurant,Dining and Drinking,43,6.2,2.0,13.0,0.0,0.9764821536600121,1.0,True,5
4c43c3bf2d3ec9b61d0f2eae,Subway,"1950 Eureka Way, Redding, CA 96001",13039,Deli,Dining and Drinking,196,6.3,5.0,5.0,1.0,0.9683151845130067,1.0,False,5
5839cf23424f9379715e5abb,Final Draft Brewi,"1600 California St, Redding, CA 96001",13003,Bar,Dining and Drinking,672,6.7,16.0,56.0,6.0,0.9734573502722323,2.0,True,5
4b70bed9f964a520b32c2de3,Jack's Grill,"1743 California St (at Placer St), Redding, CA 96001",13383,Steakhouse,Dining and Drinking,780,6.7,24.0,10.0,8.0,0.9461584996975196,4.0,False,5
810968fcd2744594580e354f,Krispy Krunchy Chicken,"1905 Eureka Way, Redding, CA 96001",13145,Fast Food Restaurant,Dining and Drinking,166,,,,,0.04688445251058681,1.0,False,5
